,earliest division time (frame),earliest division {hours},centroid_x,centroid_y,v,rep,condition,labels,id,growth_rate
242,38.0,9.5,267.4222306943409,491.0556555355925,7,1,hypoxia 3.5 days,1,1_7_1,0.27410604817827117
243,38.0,9.5,541.0484383654949,193.89670594567,7,1,hypoxia 3.5 days,3,3_7_1,0.2968372132933127
283,42.0,10.5,577.2696874359045,892.5538298167522,7,1,hypoxia 3.5 days,10,10_7_1,0.35342212366301856
321,48.0,12.0,528.9429634298699,192.6224454261305,7,1,hypoxia 3.5 days,3,3_7_1,0.2968372132933127
342,57.0,14.25,358.008548864103,678.3235270481471,7,1,hypoxia 3.5 days,2,2_7_1,0.20226096708170066
358,83.0,20.75,258.636192997876,371.6689080130402,7,1,hypoxia 3.5 days,1,1_7_1,0.27410604817827117
13,24.0,6.0,479.0386292667307,1083.348400104921,8,1,hypoxia 3.5 days,1,1_8_1,0.25048507821771093
17,25.0,6.25,784.8547728686697,580.1788942706872,8,1,hypoxia 3.5 days,5,5_8_1,0.24202687933426836
27,27.0,6.75,485.1865838604729,1103.6366502642704,8,1,hypoxia 3.5 days,1,1_8_1,0.25048507821771093
29,27.0,6.75,475.9646519698596,1095.6443092924055,8,1,hypoxia 3.5 days,1,1_8_1,0.25048507821771093
47,28.0,7.0,234.9648318951646,1120.8509231267485,8,1,hypoxia 3.5 days,7,7_8_1,0.2965402638151352
48,28.0,7.0,232.5056500576677,1110.3994003173866,8,1,hypoxia 3.5 days,7,7_8_1,0.2965402638151352
86,30.0,7.5,765.7961136280688,558.0462577332153,8,1,hypoxia 3.5 days,5,5_8_1,0.24202687933426836
96,31.0,7.75,866.0077735060673,420.3320748333895,8,1,hypoxia 3.5 days,6,6_8_1,0.36031189635813327
97,31.0,7.75,502.8982958345047,213.5684916279768,8,1,hypoxia 3.5 days,3,3_8_1,0.3156807981110008
111,32.0,8.0,1046.6765899225638,194.881952312236,8,1,hypoxia 3.5 days,7,7_8_1,0.2965402638151352
126,32.0,8.0,873.385319018558,422.7912566708864,8,1,hypoxia 3.5 days,6,6_8_1,0.36031189635813327
134,32.0,8.0,346.85760550127304,783.9430113896749,8,1,hypoxia 3.5 days,8,8_8_1,0.28073677727160196
157,33.0,8.25,451.5103127162173,131.34771863871703,8,1,hypoxia 3.5 days,20,20_8_1,0.23331717056255746
159,33.0,8.25,506.63560369765287,55.66723440996651,8,1,hypoxia 3.5 days,2,2_8_1,0.31094452618497936
160,33.0,8.25,501.9639688687176,38.84934902579974,8,1,hypoxia 3.5 days,2,2_8_1,0.31094452618497936
171,34.0,8.5,614.9084257884338,1004.0397858456464,8,1,hypoxia 3.5 days,4,4_8_1,0.23922711745573472
206,36.0,9.0,763.336931790572,570.3421669206997,8,1,hypoxia 3.5 days,5,5_8_1,0.24202687933426836
334,52.0,13.0,792.2323183811603,587.5564397831779,8,1,hypoxia 3.5 days,5,5_8_1,0.24202687933426836
339,56.0,14.0,788.543545624915,562.3498259488348,8,1,hypoxia 3.5 days,5,5_8_1,0.24202687933426836
360,86.0,21.5,1012.1064921884432,148.16560402288383,8,1,hypoxia 3.5 days,7,7_8_1,0.2965402638151352
0,18.0,4.5,740.4151785758654,534.0897907717757,9,1,hypoxia 3.5 days,5,5_9_1,0.3011733017494846
14,25.0,6.25,674.0468044305715,111.9936179646058,9,1,hypoxia 3.5 days,4,4_9_1,0.2983665428766211
16,25.0,6.25,224.83868622890492,315.8649946869006,9,1,hypoxia 3.5 days,1,1_9_1,0.2762363028128624
18,25.0,6.25,661.3768318659091,110.84180227690916,9,1,hypoxia 3.5 days,4,4_9_1,0.2983665428766211
21,26.0,6.5,959.6970949793237,92.41275127376394,9,1,hypoxia 3.5 days,20,20_9_1,0.2614030277289064
