,level_0,index,axis-0,axis-1,axis-2,name,condition,time
108,5,5.0,29.0,128.58314921905549,174.28955402501896,8,hypoxia 3.5 days,7.25
109,8,8.0,29.0,752.7995056559564,721.7078925612614,3,hypoxia 3.5 days,7.25
110,6,6.0,29.0,37.97324455747935,668.8483782280562,2,hypoxia 3.5 days,7.25
111,1,1.0,29.0,406.4490387644076,421.60598139768217,3,hypoxia 3.5 days,7.25
112,7,7.0,29.0,50.26915374496383,670.6927646061788,2,hypoxia 3.5 days,7.25
113,4,4.0,30.0,295.8814525505934,119.9218723340099,2,hypoxia 3.5 days,7.5
114,8,8.0,30.0,488.0857183249613,503.4757850963641,1,hypoxia 3.5 days,7.5
115,19,19.0,30.0,607.0863268769846,1017.0941144716594,4,hypoxia 3.5 days,7.5
116,24,24.0,30.0,193.9298773856196,215.3718450313782,4,hypoxia 3.5 days,7.5
117,5,5.0,30.0,559.6567651291517,601.4900646620466,6,hypoxia 3.5 days,7.5
118,8,8.0,30.0,604.4235758953602,832.1694099090632,0,hypoxia 3.5 days,7.5
119,3,3.0,30.0,307.35174107767625,127.9012034832849,2,hypoxia 3.5 days,7.5
120,5,5.0,30.0,301.36724271571995,125.40766249913646,2,hypoxia 3.5 days,7.5
121,1,1.0,30.0,905.201471438126,330.8133780533501,6,hypoxia 3.5 days,7.5
122,14,14.0,31.0,682.0755912642458,269.1825648576812,4,hypoxia 3.5 days,7.75
123,0,0.0,31.0,721.2828583068192,691.4379470344588,9,hypoxia 3.5 days,7.75
124,5,5.0,31.0,749.3085482781486,713.2298532151566,3,hypoxia 3.5 days,7.75
125,18,18.0,31.0,787.3106364227735,875.0133612957484,1,hypoxia 3.5 days,7.75
126,2,2.0,31.0,846.4588713656003,774.2624178165337,7,hypoxia 3.5 days,7.75
127,6,6.0,31.0,751.3033810654673,737.1678466629817,3,hypoxia 3.5 days,7.75
128,11,11.0,31.0,212.9602431324809,1108.288967248542,6,hypoxia 3.5 days,7.75
129,22,22.0,31.0,397.83111748967497,247.4904689980575,1,hypoxia 3.5 days,7.75
130,5,5.0,32.0,536.1828542825252,289.8239772178425,9,hypoxia 3.5 days,8.0
131,9,9.0,33.0,724.4496757577792,230.9966305973308,2,hypoxia 3.5 days,8.25
132,3,3.0,33.0,927.085969504361,593.4273548481706,5,hypoxia 3.5 days,8.25
133,26,26.0,33.0,206.3018268935616,246.90036151935948,4,hypoxia 3.5 days,8.25
134,7,7.0,34.0,778.7323318911002,695.2763581292879,3,hypoxia 3.5 days,8.5
135,11,11.0,35.0,721.4962858019571,208.35397426936163,2,hypoxia 3.5 days,8.75
136,9,9.0,35.0,475.6180134042192,503.9744932931938,1,hypoxia 3.5 days,8.75
137,3,3.0,36.0,765.8317732268397,357.3051388703715,6,hypoxia 3.5 days,9.0
138,8,8.0,37.0,686.4407929738061,708.1987658250434,5,hypoxia 3.5 days,9.25
139,7,7.0,37.0,678.3499755981351,707.3896840874763,5,hypoxia 3.5 days,9.25
140,12,12.0,37.0,679.084781597229,326.0079485309978,4,hypoxia 3.5 days,9.25
141,6,6.0,37.0,529.3983593193909,279.3388486384533,9,hypoxia 3.5 days,9.25
142,12,12.0,38.0,754.6398841950715,193.25887005071556,2,hypoxia 3.5 days,9.5
143,2,2.0,38.0,382.3710023104488,751.971289811929,14,hypoxia 5 days,9.5
144,3,3.0,38.0,278.613737331186,918.8152866224548,16,hypoxia 5 days,9.5
145,2,2.0,39.0,364.7992812896876,925.744902231092,4,hypoxia 3.5 days,9.75
146,10,10.0,39.0,752.8646496608069,1069.5372732550932,13,hypoxia 5 days,9.75
147,13,13.0,39.0,202.59390194321168,1127.869833939384,6,hypoxia 3.5 days,9.75
148,12,12.0,39.0,194.5311921293356,1123.2625711885976,6,hypoxia 3.5 days,9.75
149,8,8.0,41.0,384.5807805992714,862.3763179253222,11,hypoxia 5 days,10.25
150,8,8.0,41.0,352.5991913626521,1086.077168226091,14,hypoxia 5 days,10.25
151,9,9.0,41.0,736.3247546898087,1070.6399329198264,13,hypoxia 5 days,10.25
152,13,13.0,41.0,947.3959371663702,1013.1555318175716,1,hypoxia 3.5 days,10.25
153,16,16.0,42.0,381.1253335361816,1077.7658515245828,11,hypoxia 5 days,10.5
154,13,13.0,42.0,733.966154504317,194.57148780885865,2,hypoxia 3.5 days,10.5
155,13,13.0,44.0,378.8217021607885,936.0925219379031,11,hypoxia 5 days,11.0
156,6,6.0,44.0,302.9795064496577,1033.1495043188972,14,hypoxia 5 days,11.0
157,3,3.0,44.0,120.81498811675442,852.0099767360529,12,hypoxia 5 days,11.0
158,2,2.0,44.0,256.729239264951,742.5874864048777,12,hypoxia 5 days,11.0
159,27,27.0,46.0,228.2520598915233,274.03883140774843,4,hypoxia 3.5 days,11.5
160,0,0.0,46.0,766.9835889145363,401.6500428466898,18,hypoxia 5 days,11.5
161,0,0.0,47.0,909.8087341889122,769.0792472218991,11,hypoxia 5 days,11.75
162,13,13.0,47.0,703.7589613501166,268.434862440927,4,hypoxia 3.5 days,11.75
163,3,3.0,47.0,745.0990908483013,840.4918198590872,11,hypoxia 5 days,11.75
164,4,4.0,47.0,95.47504298742965,823.2145845436384,12,hypoxia 5 days,11.75
165,4,4.0,47.0,401.85801591472017,752.953827594147,11,hypoxia 5 days,11.75
166,10,10.0,48.0,291.28370989584835,1074.310404461493,19,hypoxia 5 days,12.0
167,13,13.0,48.0,344.88057370951964,832.4654453374533,13,hypoxia 5 days,12.0
168,1,1.0,48.0,601.8002755923573,417.8654113977669,13,hypoxia 5 days,12.0
169,12,12.0,48.0,370.24174599838346,853.4159789673843,13,hypoxia 5 days,12.0
170,11,11.0,48.0,354.8045106921185,821.4388486901212,13,hypoxia 5 days,12.0
171,5,5.0,48.0,278.7209938255272,922.8835378455764,14,hypoxia 5 days,12.0
172,9,9.0,48.0,238.3001882618057,1084.6767456507623,19,hypoxia 5 days,12.0
173,12,12.0,49.0,329.9123387725467,36.75521502528723,0,hypoxia 3.5 days,12.25
174,18,18.0,50.0,116.20772536596812,384.3728075312411,11,hypoxia 5 days,12.5
175,0,0.0,50.0,528.557741561344,488.0362194239336,12,hypoxia 5 days,12.5
176,7,7.0,50.0,291.9529098023256,1025.4308866657648,14,hypoxia 5 days,12.5
177,8,8.0,51.0,973.1585970122242,346.362889837254,10,hypoxia 3.5 days,12.75
178,15,15.0,51.0,203.74571763090825,1084.6767456507623,12,hypoxia 5 days,12.75
179,13,13.0,51.0,264.79194907882703,1078.9176672122796,10,hypoxia 3.5 days,12.75
180,4,4.0,52.0,241.7556353248954,872.7426591145914,16,hypoxia 5 days,13.0
