,index,label,area,time,v,rep,condition,id
150,4,5,605,21,0,1,3.5 Hypoxia,5_0_1
151,5,6,1136,21,0,1,3.5 Hypoxia,6_0_1
152,6,7,2332,21,0,1,3.5 Hypoxia,7_0_1
153,0,1,798,22,0,1,3.5 Hypoxia,1_0_1
154,1,2,772,22,0,1,3.5 Hypoxia,2_0_1
155,2,3,1575,22,0,1,3.5 Hypoxia,3_0_1
156,3,4,607,22,0,1,3.5 Hypoxia,4_0_1
157,4,5,630,22,0,1,3.5 Hypoxia,5_0_1
158,5,6,1269,22,0,1,3.5 Hypoxia,6_0_1
159,6,7,2432,22,0,1,3.5 Hypoxia,7_0_1
160,0,1,867,23,0,1,3.5 Hypoxia,1_0_1
161,1,2,831,23,0,1,3.5 Hypoxia,2_0_1
162,2,3,1617,23,0,1,3.5 Hypoxia,3_0_1
163,3,4,614,23,0,1,3.5 Hypoxia,4_0_1
164,4,5,672,23,0,1,3.5 Hypoxia,5_0_1
165,5,6,1361,23,0,1,3.5 Hypoxia,6_0_1
166,6,7,2509,23,0,1,3.5 Hypoxia,7_0_1
167,0,1,929,24,0,1,3.5 Hypoxia,1_0_1
168,1,2,880,24,0,1,3.5 Hypoxia,2_0_1
169,2,3,1701,24,0,1,3.5 Hypoxia,3_0_1
170,3,4,618,24,0,1,3.5 Hypoxia,4_0_1
171,4,5,721,24,0,1,3.5 Hypoxia,5_0_1
172,5,6,1374,24,0,1,3.5 Hypoxia,6_0_1
173,6,7,2575,24,0,1,3.5 Hypoxia,7_0_1
174,0,1,995,25,0,1,3.5 Hypoxia,1_0_1
175,1,2,937,25,0,1,3.5 Hypoxia,2_0_1
176,2,3,1835,25,0,1,3.5 Hypoxia,3_0_1
177,3,4,631,25,0,1,3.5 Hypoxia,4_0_1
178,4,5,759,25,0,1,3.5 Hypoxia,5_0_1
179,5,6,1509,25,0,1,3.5 Hypoxia,6_0_1
180,6,7,2904,25,0,1,3.5 Hypoxia,7_0_1
181,0,1,1053,26,0,1,3.5 Hypoxia,1_0_1
182,1,2,991,26,0,1,3.5 Hypoxia,2_0_1
183,2,3,1935,26,0,1,3.5 Hypoxia,3_0_1
184,3,4,639,26,0,1,3.5 Hypoxia,4_0_1
185,4,5,807,26,0,1,3.5 Hypoxia,5_0_1
186,5,6,1707,26,0,1,3.5 Hypoxia,6_0_1
187,6,7,3114,26,0,1,3.5 Hypoxia,7_0_1
188,0,1,1115,27,0,1,3.5 Hypoxia,1_0_1
189,1,2,1038,27,0,1,3.5 Hypoxia,2_0_1
190,2,3,2042,27,0,1,3.5 Hypoxia,3_0_1
191,3,4,624,27,0,1,3.5 Hypoxia,4_0_1
192,4,5,848,27,0,1,3.5 Hypoxia,5_0_1
193,5,6,1795,27,0,1,3.5 Hypoxia,6_0_1
194,6,7,3460,27,0,1,3.5 Hypoxia,7_0_1
195,0,1,1221,28,0,1,3.5 Hypoxia,1_0_1
196,1,2,1107,28,0,1,3.5 Hypoxia,2_0_1
197,2,3,2177,28,0,1,3.5 Hypoxia,3_0_1
198,3,4,622,28,0,1,3.5 Hypoxia,4_0_1
199,4,5,897,28,0,1,3.5 Hypoxia,5_0_1
200,5,6,2006,28,0,1,3.5 Hypoxia,6_0_1
201,6,7,3932,28,0,1,3.5 Hypoxia,7_0_1
202,0,1,1288,29,0,1,3.5 Hypoxia,1_0_1
203,1,2,1162,29,0,1,3.5 Hypoxia,2_0_1
204,2,3,2330,29,0,1,3.5 Hypoxia,3_0_1
205,3,4,615,29,0,1,3.5 Hypoxia,4_0_1
206,4,5,943,29,0,1,3.5 Hypoxia,5_0_1
207,5,6,2228,29,0,1,3.5 Hypoxia,6_0_1
208,6,7,4174,29,0,1,3.5 Hypoxia,7_0_1
209,0,1,1394,30,0,1,3.5 Hypoxia,1_0_1
210,1,2,1241,30,0,1,3.5 Hypoxia,2_0_1
211,2,3,2576,30,0,1,3.5 Hypoxia,3_0_1
212,3,4,627,30,0,1,3.5 Hypoxia,4_0_1
213,4,5,985,30,0,1,3.5 Hypoxia,5_0_1
214,5,6,2428,30,0,1,3.5 Hypoxia,6_0_1
215,6,7,4436,30,0,1,3.5 Hypoxia,7_0_1
216,0,1,1502,31,0,1,3.5 Hypoxia,1_0_1
217,1,2,1357,31,0,1,3.5 Hypoxia,2_0_1
218,2,3,2767,31,0,1,3.5 Hypoxia,3_0_1
219,3,4,629,31,0,1,3.5 Hypoxia,4_0_1
220,4,5,1059,31,0,1,3.5 Hypoxia,5_0_1
221,5,6,2671,31,0,1,3.5 Hypoxia,6_0_1
222,6,7,4826,31,0,1,3.5 Hypoxia,7_0_1
223,0,1,1586,32,0,1,3.5 Hypoxia,1_0_1
224,1,2,1462,32,0,1,3.5 Hypoxia,2_0_1
225,2,3,3101,32,0,1,3.5 Hypoxia,3_0_1
226,3,4,637,32,0,1,3.5 Hypoxia,4_0_1
227,4,5,1129,32,0,1,3.5 Hypoxia,5_0_1
228,5,6,2821,32,0,1,3.5 Hypoxia,6_0_1
229,6,7,4906,32,0,1,3.5 Hypoxia,7_0_1
230,0,1,1677,33,0,1,3.5 Hypoxia,1_0_1
231,1,2,1546,33,0,1,3.5 Hypoxia,2_0_1
232,2,3,3302,33,0,1,3.5 Hypoxia,3_0_1
233,3,4,628,33,0,1,3.5 Hypoxia,4_0_1
234,4,5,1163,33,0,1,3.5 Hypoxia,5_0_1
235,5,6,2967,33,0,1,3.5 Hypoxia,6_0_1
236,6,7,5420,33,0,1,3.5 Hypoxia,7_0_1
237,0,1,1757,34,0,1,3.5 Hypoxia,1_0_1
238,1,2,1642,34,0,1,3.5 Hypoxia,2_0_1
239,2,3,3548,34,0,1,3.5 Hypoxia,3_0_1
240,3,4,629,34,0,1,3.5 Hypoxia,4_0_1
241,4,5,1215,34,0,1,3.5 Hypoxia,5_0_1
242,5,6,3180,34,0,1,3.5 Hypoxia,6_0_1
243,6,7,5743,34,0,1,3.5 Hypoxia,7_0_1
244,0,1,1912,35,0,1,3.5 Hypoxia,1_0_1
245,1,2,1756,35,0,1,3.5 Hypoxia,2_0_1
246,2,3,3804,35,0,1,3.5 Hypoxia,3_0_1
247,3,4,632,35,0,1,3.5 Hypoxia,4_0_1
248,4,5,1319,35,0,1,3.5 Hypoxia,5_0_1
249,5,6,3496,35,0,1,3.5 Hypoxia,6_0_1
250,6,7,6220,35,0,1,3.5 Hypoxia,7_0_1
251,0,1,1989,36,0,1,3.5 Hypoxia,1_0_1
252,1,2,1882,36,0,1,3.5 Hypoxia,2_0_1
253,2,3,4030,36,0,1,3.5 Hypoxia,3_0_1
254,3,4,631,36,0,1,3.5 Hypoxia,4_0_1
255,4,5,1399,36,0,1,3.5 Hypoxia,5_0_1
256,5,6,3664,36,0,1,3.5 Hypoxia,6_0_1
257,6,7,6640,36,0,1,3.5 Hypoxia,7_0_1
258,0,1,2131,37,0,1,3.5 Hypoxia,1_0_1
259,1,2,1728,37,0,1,3.5 Hypoxia,2_0_1
260,2,3,4307,37,0,1,3.5 Hypoxia,3_0_1
261,3,4,647,37,0,1,3.5 Hypoxia,4_0_1
262,4,5,1446,37,0,1,3.5 Hypoxia,5_0_1
263,5,6,3875,37,0,1,3.5 Hypoxia,6_0_1
264,6,7,7285,37,0,1,3.5 Hypoxia,7_0_1
265,0,1,2271,38,0,1,3.5 Hypoxia,1_0_1
266,1,2,2173,38,0,1,3.5 Hypoxia,2_0_1
267,2,3,4616,38,0,1,3.5 Hypoxia,3_0_1
268,3,4,645,38,0,1,3.5 Hypoxia,4_0_1
269,4,5,1422,38,0,1,3.5 Hypoxia,5_0_1
270,5,6,4129,38,0,1,3.5 Hypoxia,6_0_1
271,6,7,7469,38,0,1,3.5 Hypoxia,7_0_1
272,0,1,2536,39,0,1,3.5 Hypoxia,1_0_1
273,1,2,2387,39,0,1,3.5 Hypoxia,2_0_1
274,2,3,5042,39,0,1,3.5 Hypoxia,3_0_1
275,3,4,680,39,0,1,3.5 Hypoxia,4_0_1
276,4,5,1508,39,0,1,3.5 Hypoxia,5_0_1
277,5,6,4266,39,0,1,3.5 Hypoxia,6_0_1
278,6,7,7900,39,0,1,3.5 Hypoxia,7_0_1
279,0,1,2639,40,0,1,3.5 Hypoxia,1_0_1
280,1,2,2518,40,0,1,3.5 Hypoxia,2_0_1
281,2,3,5491,40,0,1,3.5 Hypoxia,3_0_1
282,3,4,662,40,0,1,3.5 Hypoxia,4_0_1
283,4,5,1744,40,0,1,3.5 Hypoxia,5_0_1
284,5,6,4357,40,0,1,3.5 Hypoxia,6_0_1
285,6,7,7988,40,0,1,3.5 Hypoxia,7_0_1
286,0,1,2948,41,0,1,3.5 Hypoxia,1_0_1
287,1,2,2706,41,0,1,3.5 Hypoxia,2_0_1
288,2,3,6166,41,0,1,3.5 Hypoxia,3_0_1
289,3,4,683,41,0,1,3.5 Hypoxia,4_0_1
290,4,5,2138,41,0,1,3.5 Hypoxia,5_0_1
291,5,6,4680,41,0,1,3.5 Hypoxia,6_0_1
292,6,7,8789,41,0,1,3.5 Hypoxia,7_0_1
293,0,1,3224,42,0,1,3.5 Hypoxia,1_0_1
294,1,2,2862,42,0,1,3.5 Hypoxia,2_0_1
295,2,3,6518,42,0,1,3.5 Hypoxia,3_0_1
296,3,4,694,42,0,1,3.5 Hypoxia,4_0_1
297,4,5,2342,42,0,1,3.5 Hypoxia,5_0_1
298,5,6,5017,42,0,1,3.5 Hypoxia,6_0_1
299,6,7,9252,42,0,1,3.5 Hypoxia,7_0_1
300,0,1,3469,43,0,1,3.5 Hypoxia,1_0_1
301,1,2,3056,43,0,1,3.5 Hypoxia,2_0_1
302,2,3,6904,43,0,1,3.5 Hypoxia,3_0_1
303,3,4,712,43,0,1,3.5 Hypoxia,4_0_1
304,4,5,2582,43,0,1,3.5 Hypoxia,5_0_1
305,5,6,5701,43,0,1,3.5 Hypoxia,6_0_1
306,6,7,9687,43,0,1,3.5 Hypoxia,7_0_1
307,0,1,3818,44,0,1,3.5 Hypoxia,1_0_1
308,1,2,3298,44,0,1,3.5 Hypoxia,2_0_1
309,2,3,7300,44,0,1,3.5 Hypoxia,3_0_1
310,3,4,705,44,0,1,3.5 Hypoxia,4_0_1
311,4,5,2606,44,0,1,3.5 Hypoxia,5_0_1
312,5,6,6122,44,0,1,3.5 Hypoxia,6_0_1
313,6,7,10231,44,0,1,3.5 Hypoxia,7_0_1
314,0,1,4429,45,0,1,3.5 Hypoxia,1_0_1
315,1,2,3522,45,0,1,3.5 Hypoxia,2_0_1
316,2,3,7887,45,0,1,3.5 Hypoxia,3_0_1
317,3,4,702,45,0,1,3.5 Hypoxia,4_0_1
318,4,5,2736,45,0,1,3.5 Hypoxia,5_0_1
319,5,6,6548,45,0,1,3.5 Hypoxia,6_0_1
320,6,7,10834,45,0,1,3.5 Hypoxia,7_0_1
321,0,1,4777,46,0,1,3.5 Hypoxia,1_0_1
322,1,2,3922,46,0,1,3.5 Hypoxia,2_0_1
323,2,3,8430,46,0,1,3.5 Hypoxia,3_0_1
324,3,4,697,46,0,1,3.5 Hypoxia,4_0_1
325,4,5,2893,46,0,1,3.5 Hypoxia,5_0_1
326,5,6,6924,46,0,1,3.5 Hypoxia,6_0_1
327,6,7,11542,46,0,1,3.5 Hypoxia,7_0_1
328,0,1,5229,47,0,1,3.5 Hypoxia,1_0_1
329,1,2,4143,47,0,1,3.5 Hypoxia,2_0_1
330,2,3,9036,47,0,1,3.5 Hypoxia,3_0_1
331,3,4,695,47,0,1,3.5 Hypoxia,4_0_1
332,4,5,3180,47,0,1,3.5 Hypoxia,5_0_1
333,5,6,7149,47,0,1,3.5 Hypoxia,6_0_1
334,6,7,12064,47,0,1,3.5 Hypoxia,7_0_1
335,0,1,5617,48,0,1,3.5 Hypoxia,1_0_1
336,1,2,4386,48,0,1,3.5 Hypoxia,2_0_1
337,2,3,9727,48,0,1,3.5 Hypoxia,3_0_1
338,3,4,738,48,0,1,3.5 Hypoxia,4_0_1
339,4,5,3438,48,0,1,3.5 Hypoxia,5_0_1
340,5,6,7640,48,0,1,3.5 Hypoxia,6_0_1
341,6,7,12746,48,0,1,3.5 Hypoxia,7_0_1
342,0,1,5972,49,0,1,3.5 Hypoxia,1_0_1
343,1,2,3809,49,0,1,3.5 Hypoxia,2_0_1
344,2,3,10276,49,0,1,3.5 Hypoxia,3_0_1
345,3,4,727,49,0,1,3.5 Hypoxia,4_0_1
346,4,5,3702,49,0,1,3.5 Hypoxia,5_0_1
347,5,6,8010,49,0,1,3.5 Hypoxia,6_0_1
348,6,7,13465,49,0,1,3.5 Hypoxia,7_0_1
349,0,1,6354,50,0,1,3.5 Hypoxia,1_0_1
350,1,2,4977,50,0,1,3.5 Hypoxia,2_0_1
351,2,3,10754,50,0,1,3.5 Hypoxia,3_0_1
352,3,4,706,50,0,1,3.5 Hypoxia,4_0_1
353,4,5,3874,50,0,1,3.5 Hypoxia,5_0_1
354,5,6,8406,50,0,1,3.5 Hypoxia,6_0_1
355,6,7,14264,50,0,1,3.5 Hypoxia,7_0_1
356,0,1,6604,51,0,1,3.5 Hypoxia,1_0_1
357,1,2,5347,51,0,1,3.5 Hypoxia,2_0_1
358,2,3,15723,51,0,1,3.5 Hypoxia,3_0_1
359,3,4,736,51,0,1,3.5 Hypoxia,4_0_1
360,4,6,8807,51,0,1,3.5 Hypoxia,6_0_1
361,5,7,15265,51,0,1,3.5 Hypoxia,7_0_1
362,0,1,7023,52,0,1,3.5 Hypoxia,1_0_1
363,1,2,5536,52,0,1,3.5 Hypoxia,2_0_1
364,2,3,16725,52,0,1,3.5 Hypoxia,3_0_1
365,3,4,714,52,0,1,3.5 Hypoxia,4_0_1
366,4,6,9327,52,0,1,3.5 Hypoxia,6_0_1
367,5,7,15982,52,0,1,3.5 Hypoxia,7_0_1
368,0,1,7706,53,0,1,3.5 Hypoxia,1_0_1
369,1,2,5081,53,0,1,3.5 Hypoxia,2_0_1
370,2,3,17715,53,0,1,3.5 Hypoxia,3_0_1
371,3,4,766,53,0,1,3.5 Hypoxia,4_0_1
372,4,6,10121,53,0,1,3.5 Hypoxia,6_0_1
373,5,7,16673,53,0,1,3.5 Hypoxia,7_0_1
374,0,1,8305,54,0,1,3.5 Hypoxia,1_0_1
375,1,2,6354,54,0,1,3.5 Hypoxia,2_0_1
376,2,3,18298,54,0,1,3.5 Hypoxia,3_0_1
377,3,4,753,54,0,1,3.5 Hypoxia,4_0_1
378,4,6,10850,54,0,1,3.5 Hypoxia,6_0_1
379,5,7,17800,54,0,1,3.5 Hypoxia,7_0_1
380,0,1,8787,55,0,1,3.5 Hypoxia,1_0_1
381,1,2,5655,55,0,1,3.5 Hypoxia,2_0_1
382,2,3,19066,55,0,1,3.5 Hypoxia,3_0_1
383,3,4,733,55,0,1,3.5 Hypoxia,4_0_1
384,4,6,11066,55,0,1,3.5 Hypoxia,6_0_1
385,5,7,19054,55,0,1,3.5 Hypoxia,7_0_1
386,0,1,9438,56,0,1,3.5 Hypoxia,1_0_1
387,1,2,6650,56,0,1,3.5 Hypoxia,2_0_1
388,2,3,20538,56,0,1,3.5 Hypoxia,3_0_1
389,3,4,761,56,0,1,3.5 Hypoxia,4_0_1
390,4,6,11554,56,0,1,3.5 Hypoxia,6_0_1
391,5,7,19993,56,0,1,3.5 Hypoxia,7_0_1
392,0,1,10049,57,0,1,3.5 Hypoxia,1_0_1
393,1,2,7322,57,0,1,3.5 Hypoxia,2_0_1
394,2,3,22165,57,0,1,3.5 Hypoxia,3_0_1
395,3,4,742,57,0,1,3.5 Hypoxia,4_0_1
396,4,6,12005,57,0,1,3.5 Hypoxia,6_0_1
397,5,7,21094,57,0,1,3.5 Hypoxia,7_0_1
398,0,1,10751,58,0,1,3.5 Hypoxia,1_0_1
399,1,2,8251,58,0,1,3.5 Hypoxia,2_0_1
400,2,3,23501,58,0,1,3.5 Hypoxia,3_0_1
401,3,4,757,58,0,1,3.5 Hypoxia,4_0_1
402,4,6,12543,58,0,1,3.5 Hypoxia,6_0_1
403,5,7,22286,58,0,1,3.5 Hypoxia,7_0_1
404,0,1,11294,59,0,1,3.5 Hypoxia,1_0_1
405,1,2,8889,59,0,1,3.5 Hypoxia,2_0_1
406,2,3,25021,59,0,1,3.5 Hypoxia,3_0_1
407,3,4,741,59,0,1,3.5 Hypoxia,4_0_1
408,4,6,12577,59,0,1,3.5 Hypoxia,6_0_1
409,5,7,23465,59,0,1,3.5 Hypoxia,7_0_1
410,0,1,12025,60,0,1,3.5 Hypoxia,1_0_1
411,1,2,9415,60,0,1,3.5 Hypoxia,2_0_1
412,2,3,26505,60,0,1,3.5 Hypoxia,3_0_1
413,3,4,772,60,0,1,3.5 Hypoxia,4_0_1
414,4,6,13096,60,0,1,3.5 Hypoxia,6_0_1
415,5,7,25031,60,0,1,3.5 Hypoxia,7_0_1
416,0,1,13027,61,0,1,3.5 Hypoxia,1_0_1
417,1,2,9955,61,0,1,3.5 Hypoxia,2_0_1
418,2,3,28292,61,0,1,3.5 Hypoxia,3_0_1
419,3,4,791,61,0,1,3.5 Hypoxia,4_0_1
420,4,6,13823,61,0,1,3.5 Hypoxia,6_0_1
421,5,7,27210,61,0,1,3.5 Hypoxia,7_0_1
422,0,1,13801,62,0,1,3.5 Hypoxia,1_0_1
423,1,2,10489,62,0,1,3.5 Hypoxia,2_0_1
424,2,3,30173,62,0,1,3.5 Hypoxia,3_0_1
425,3,4,796,62,0,1,3.5 Hypoxia,4_0_1
426,4,6,14599,62,0,1,3.5 Hypoxia,6_0_1
427,5,7,28839,62,0,1,3.5 Hypoxia,7_0_1
428,0,1,14722,63,0,1,3.5 Hypoxia,1_0_1
429,1,2,11222,63,0,1,3.5 Hypoxia,2_0_1
430,2,3,32094,63,0,1,3.5 Hypoxia,3_0_1
431,3,4,789,63,0,1,3.5 Hypoxia,4_0_1
432,4,6,14979,63,0,1,3.5 Hypoxia,6_0_1
433,5,7,30700,63,0,1,3.5 Hypoxia,7_0_1
434,0,1,15785,64,0,1,3.5 Hypoxia,1_0_1
435,1,2,11976,64,0,1,3.5 Hypoxia,2_0_1
436,2,3,33784,64,0,1,3.5 Hypoxia,3_0_1
437,3,4,803,64,0,1,3.5 Hypoxia,4_0_1
438,4,6,15748,64,0,1,3.5 Hypoxia,6_0_1
439,5,7,32877,64,0,1,3.5 Hypoxia,7_0_1
